ID	Stimulation	Treatment	Intensity
1	Basal	DMSO	1,71978446
2	Basal	DMSO	2,32956443
3	Basal	DMSO	1,19356544
4	Basal	DMSO	0,53904818
5	Basal	DMSO	0,38087886
6	Basal	DMSO	1,04772938
7	Basal	DMSO	0,02840837
8	Basal	DMSO	0,76102089
9	Insulin	DMSO	8,5260753
10	Insulin	DMSO	8,35225925
11	Insulin	DMSO	8,95267211
12	Insulin	DMSO	4,60812883
13	Insulin	DMSO	2,20518509
14	Insulin	DMSO	7,17782352
15	Insulin	DMSO	1,53456444
16	Insulin	DMSO	4,82090637
1	Basal	BI-D1870	0,6517389
2	Basal	BI-D1870	1,6605785
3	Basal	BI-D1870	0,9644147
4	Basal	BI-D1870	1,2030259
5	Basal	BI-D1870	0,854998
6	Basal	BI-D1870	0,8473476
7	Basal	BI-D1870	0,1760022
8	Basal	BI-D1870	0,8187647
9	Insulin	BI-D1870	8,271367411
10	Insulin	BI-D1870	14,43117855
11	Insulin	BI-D1870	10,44429388
12	Insulin	BI-D1870	5,610284641
13	Insulin	BI-D1870	7,570710933
14	Insulin	BI-D1870	2,791596797
15	Insulin	BI-D1870	2,160678094
16	Insulin	BI-D1870	2,359375281
