kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
P70S6KB	AGC	8	29	117	6188	14.590038314176246	3.8669117667380593	6.427376179098978e-8	0.000019474949822669904	7.191966281118712	4.710523652616407
RSK4	AGC	7	29	110	6188	13.578683385579938	3.7632716948544083	7.73643150337989e-7	0.00011720693727620534	6.111459315255127	3.9310466824168033
RSK2	AGC	6	29	127	6188	10.080912299755633	3.3335543002704537	0.00002713736567585677	0.002640838682319377	4.566432313196798	2.5782581271983394
MSK2	AGC	6	29	133	6188	9.626134301270417	3.26695655154143	0.00003486255686230201	0.002640838682319377	4.457640764372682	2.5782581271983394
PASK	CAMK	7	29	251	6188	5.950817419975271	2.573087854428296	0.0001390346867378533	0.00842550201631391	3.856876837303076	2.0744042131367895
P70S6K	AGC	5	29	154	6188	6.9278996865203775	2.792418040513925	0.0007421701937796189	0.037479594785870755	3.1294964912927723	1.4262051131741111
P90RSK	AGC	4	29	107	6188	7.976796648404769	2.9958094999203166	0.0016201729053420373	0.07013034147409104	2.790438634945712	1.154094046457664
AKT3	AGC	3	29	64	6188	10.002155172413794	3.32223898704262	0.003578049634599284	0.13551862991044789	2.446353639206581	0.8680009976962196
MSK1	AGC	4	29	145	6188	5.886325802615933	2.557367396306529	0.0047203344580931455	0.1395754933507178	2.3260272284510357	0.8551908283952064
SGK1	AGC	3	29	72	6188	8.890804597701148	3.152313985600307	0.004918994692007148	0.1395754933507178	2.3081236460792636	0.8551908283952064
PIM1	CAMK	4	29	148	6188	5.767008387698043	2.527823120692514	0.005067097118342891	0.1395754933507178	2.2952407717392864	0.8551908283952064
CAMK2A	CAMK	6	29	359	6188	3.5662280280472576	1.8343989532195684	0.00589417530207442	0.1488279263773791	2.229576951690807	0.8273155692361265
PRKX	AGC	4	29	180	6188	4.741762452107279	2.245423389991789	0.009884866350423753	0.23039342339833824	2.0050291982436685	0.6375299220482005
