kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
MAPKAPK3	CAMK	162	1982	157	4155	2.1631305957438607	1.1131207684642166	1.6414094714732289e-12	4.973470698563883e-10	11.784783064883351	9.303340436381047
AMPKA1	CAMK	122	1982	109	4155	2.3463927642359215	1.2304445272571787	4.053727716459634e-11	6.141397490436346e-9	10.392145425650508	8.211732792812183
BRSK1	CAMK	152	1982	158	4155	2.016758420723218	1.0120382797377012	2.538570863687082e-10	2.5639565723239526e-8	9.59541070884842	7.591089335065777
BRSK2	CAMK	134	1982	133	4155	2.1121294659453884	1.0786982694278018	4.3867017285993285e-10	3.322926559413991e-8	9.357861894208513	7.478479257034171
MAPKAPK2	CAMK	178	1982	206	4155	1.8114241768146324	0.8571244182543978	2.1252522085686156e-9	1.287902838392581e-7	8.67258952383008	6.890116899663794
PKACG	AGC	80	1982	65	4155	2.5801443763098657	1.3674517963301265	7.575375025483609e-9	3.8255643878692225e-7	8.120595862170015	6.417304484051353
MSK2	AGC	92	1982	84	4155	2.2960213348709817	1.1991360477494712	2.1255456358975594e-8	9.200576109670864e-7	7.672529566205811	6.036184977717762
AMPKA2	CAMK	105	1982	104	4155	2.116524683691687	1.0816973139962494	3.397081768595743e-8	0.0000012399834709339827	7.468893999428903	5.906584103974867
CAMK2D	CAMK	195	1982	246	4155	1.6617545716324973	0.7327073228815896	3.683119220595989e-8	0.0000012399834709339827	7.433784223037847	5.906584103974867
PKACA	AGC	94	1982	94	4155	2.096367305751766	1.0678915144712187	2.399409900671832e-7	0.000007270211999035652	6.6198955534522135	5.138452924949909
CRIK	AGC	64	1982	53	4155	2.5314624069455287	1.3399710599080197	3.6964245640546925e-7	0.000009994495167725297	6.432218152377075	5.000239137654745
MARK2	CAMK	201	1982	268	4155	1.5722754793138245	0.652854015192375	3.9582159080100185e-7	0.000009994495167725297	6.402500520109426	5.000239137654745
MARK1	CAMK	171	1982	218	4155	1.6443982077227155	0.7175597045801902	4.402555716896686e-7	0.000010261341401689968	6.356295139077287	4.988795862881819
QIK	CAMK	118	1982	133	4155	1.8599349028474315	0.8952521283318704	5.092893908256334e-7	0.000011022477530011922	6.293035370660411	4.957720777836344
CAMK1B	CAMK	71	1982	64	4155	2.3256574798183656	1.217638633975901	6.523145249939769e-7	0.000013176753404878332	6.1855429509969015	4.880191581550278
MARK3	CAMK	168	1982	216	4155	1.6305079044735955	0.7053214350865104	8.121525622338683e-7	0.000015380139147303883	6.090362381211079	4.8130397353647
QSK	CAMK	131	1982	158	4155	1.7381273231232999	0.7975337678315664	0.0000014811939962220594	0.000026400104756193176	5.829388056960776	4.578394349836746
MSK1	AGC	93	1982	100	4155	1.9496215943491422	0.9631941358045253	0.0000022646953320409855	0.00003812237142268992	5.644990215069772	4.4188200916707725
MAPKAPK5	CAMK	140	1982	175	4155	1.6770938446014128	0.7459634195838565	0.0000024887708932849906	0.000038444600041268334	5.604015081037747	4.415164652923001
CAMK4	CAMK	90	1982	96	4155	1.9653443491422806	0.9747821100797374	0.000002648604039640048	0.000038444600041268334	5.576982962900508	4.415164652923001
PRKD3	CAMK	88	1982	93	4155	1.9836593860876928	0.9881643220004848	0.0000026644772305829538	0.000038444600041268334	5.574387986691386	4.415164652923001
CAMK1A	CAMK	70	1982	67	4155	2.190234498546621	1.1310853409584127	0.0000031134529456632673	0.000042880738297089544	5.506757693486251	4.367737745806152
RSK2	AGC	71	1982	69	4155	2.1571315754837013	1.1091141771977318	0.000003757765833454579	0.000048550706368563435	5.425070286610987	4.313804447120804
SGK1	AGC	50	1982	40	4155	2.6204591321897075	1.389819609358581	0.000003845600504440668	0.000048550706368563435	5.415035833911502	4.313804447120804
RSK3	AGC	68	1982	65	4155	2.1931227198633856	1.1329865426931034	0.000004177148415113095	0.00005062703879117071	5.379120093870726	4.2956174740404585
CAMK1D	CAMK	84	1982	89	4155	1.9785938616084082	0.9844755062835812	0.000004798438874758549	0.00005498464241929852	5.318900033114906	4.2597585949405765
MRCKA	AGC	57	1982	50	4155	2.389858728557013	1.2569253388612356	0.00000489962160171967	0.00005498464241929852	5.309837459283894	4.2597585949405765
P70S6K	AGC	81	1982	85	4155	1.9977147266575652	0.9983505812181417	0.000005573584641807085	0.00006031414808812667	5.253865399184343	4.219580802024257
PKG1	AGC	114	1982	137	4155	1.7444224296036592	0.8027494456754337	0.000006437093034483435	0.00006504289901910797	5.191310214022995	4.186800110096289
TSSK1	CAMK	136	1982	173	4155	1.648011292382891	0.7207261280848333	0.000006530904984032928	0.00006504289901910797	5.185026634599428	4.186800110096289
PKG2	AGC	93	1982	104	4155	1.8746361484126368	0.9066106074381579	0.0000067440232789726675	0.00006504289901910797	5.171080939286053	4.186800110096289
DAPK2	CAMK	100	1982	115	4155	1.8229280919580573	0.8662576533015681	0.000006869217058123614	0.00006504289901910797	5.163092760278689	4.186800110096289
PAK4	STE	109	1982	131	4155	1.7443056208163548	0.8026528377106948	0.000010305487047465596	0.00009462310834491138	4.9869314782148715	4.024002789590454
CHK1	CAMK	182	1982	255	4155	1.4962307829287114	0.5813327178110571	0.000012882546879654199	0.00011480622660397713	4.889998268464164	3.940034557004114
PRKD1	CAMK	150	1982	201	4155	1.5644532132475863	0.6456585137881709	0.000015629272960973505	0.00013530484877642777	4.806061223924587	3.868686639772558
SIK	CAMK	110	1982	136	4155	1.6955912031815752	0.7617883867455387	0.000021998009264933583	0.00018514991131319097	4.657616619376567	3.7324764916415494
TSSK2	CAMK	181	1982	259	4155	1.4650288893477592	0.5509291138678702	0.000032492003798624684	0.00026608316624279136	4.488223504664529	3.574982600229219
AKT3	AGC	40	1982	32	4155	2.6204591321897075	1.389819609358581	0.00003548918991423128	0.0002829795932634757	4.449903913861608	3.5482448819761125
PKACB	AGC	83	1982	96	4155	1.812484233097881	0.8579684450969873	0.000047433599416129774	0.0003685225800791621	4.323913918416838	3.4335358969410317
PRKD2	CAMK	96	1982	118	4155	1.7055191640014367	0.7702109658305336	0.00006273271223260042	0.0004752002951619482	4.2025059354470695	3.323123298272727
P70S6KB	AGC	63	1982	68	4155	1.942222650917077	0.9577085967207956	0.00010419969819905865	0.0007632334250656945	3.9821335389124375	3.117342618382945
CAMK2A	CAMK	176	1982	258	4155	1.4300800225283365	0.516095877685262	0.00010655226247473145	0.0007632334250656945	3.972437324271136	3.117342618382945
AKT1	AGC	35	1982	28	4155	2.6204591321897075	1.389819609358581	0.00010831365438226028	0.0007632334250656945	3.9653167913056633	3.117342618382945
PHKG1	CAMK	68	1982	76	4155	1.8756970630410537	0.9074268422779725	0.00011393436999698005	0.0007845935024792035	3.94334524476748	3.105355292751362
PKN3	AGC	64	1982	70	4155	1.916678679544472	0.9386084975262525	0.00011886288520633953	0.0008003434270560195	3.924953732146254	3.096723617419293
PAK5	STE	86	1982	105	4155	1.717024650425256	0.779910751507194	0.0001279405492186929	0.0008426388870314874	3.892991789290367	3.0743585024445212
MRCKB	AGC	42	1982	38	4155	2.317037548462478	1.2122814238063935	0.0001322364785747896	0.0008426388870314874	3.878648724438878	3.0743585024445212
MARK4	CAMK	165	1982	240	4155	1.441252522704339	0.5273231331085158	0.00013348734844063166	0.0008426388870314874	3.8745598935712393	3.0743585024445212
PHKG2	CAMK	69	1982	79	4155	1.8310043556566058	0.8726352230722849	0.00016551299638717444	0.001023478324598242	3.7811678989418582	2.989921350468067
SSTK	CAMK	164	1982	243	4155	1.414832255733702	0.5006310154835214	0.0002675789697910478	0.0015978346640791862	3.572548022677776	2.7964681613129696
CHK2	CAMK	79	1982	97	4155	1.707350692313294	0.771759420461194	0.00026894246821134815	0.0015978346640791862	3.570340613717338	2.7964681613129696
MELK	CAMK	75	1982	91	4155	1.7277752519932135	0.7889155647684031	0.0002986451772783617	0.001740182475295069	3.5248444941374237	2.759405209269918
DAPK3	CAMK	105	1982	141	4155	1.5611245893896126	0.6425856797385475	0.00031517550015799125	0.001801852387695686	3.501447549303458	2.744280790401942
smMLCK	CAMK	91	1982	118	4155	1.6166900408763618	0.6930431053080737	0.00034994017705619515	0.001963553215704206	3.4560061927782693	2.7069573240989326
MYLK4	CAMK	73	1982	89	4155	1.7194922844930216	0.7819826423848384	0.00039408469277351667	0.0021710483983704643	3.4044104338811683	2.663330494873107
DAPK1	CAMK	109	1982	150	4155	1.5233602421796166	0.6072571487522642	0.0004628553499035254	0.0025043780539422892	3.3345547121223342	2.6013001106262297
skMLCK	CAMK	107	1982	148	4155	1.5156169034826956	0.5999051352434159	0.0005919841634269931	0.0031468631845329633	3.2276899112302284	2.502122138400415
