kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
P70S6KB	AGC	17	191	135	7757	5.114174907892185	2.3545015024711438	1.1679882757216716e-7	0.00003539004475436665	6.932561516654217	4.451118888151912
P70S6K	AGC	18	191	179	7757	4.083945128550118	2.0299634824496913	0.0000010433262378482597	0.00015806392503401134	5.981579870726401	3.8011672378880776
RSK4	AGC	13	191	121	7757	4.3633334775647965	2.125430739138133	0.000018375247152864973	0.0018558999624393622	4.735766810806838	2.7314454370241954
SGK1	AGC	9	191	77	7757	4.746923233834229	2.2469927190190466	0.00020629663766759323	0.01514974605947444	3.6855078503317946	1.8195946467585922
CRIK	AGC	12	191	138	7757	3.531527430002276	1.8202923022146222	0.0002499958095622845	0.01514974605947444	3.6020672709248784	1.8195946467585922
AKT3	AGC	8	191	72	7757	4.512507271669575	2.1739292568293225	0.0006341556711709399	0.032024861394132464	3.1978041193551365	1.494512741236475
PIM3	CAMK	15	191	233	7757	2.614542839808552	1.3865587092258735	0.0009005624068128264	0.03515609077466434	3.0454861862366323	1.453999422829787
P90RSK	AGC	10	191	117	7757	3.4711594397458274	1.7954176335755931	0.0009282136178129199	0.03515609077466434	3.0323520643401483	1.453999422829787
AKT2	AGC	7	191	70	7757	4.061256544502617	2.0219261633842724	0.0024103322015532895	0.0811478507856274	2.6179230971102534	1.0907229780472731
RSK2	AGC	10	191	147	7757	2.7627595540834133	1.466110008322633	0.004471386996289606	0.1205654324635925	2.349557740536871	0.918777191716916
PKCZ	AGC	8	191	101	7757	3.216836866932767	1.6856427755198407	0.004607078465499491	0.1205654324635925	2.3365743909938463	0.918777191716916
CK1E	CK1	21	191	459	7757	1.8580912295110017	0.8938213376365876	0.0054611288393727545	0.1205654324635925	2.2627175774346826	0.918777191716916
PAK1	STE	11	191	177	7757	2.5239447451711183	1.335680326825935	0.005543821732203954	0.1205654324635925	2.256190743397131	0.918777191716916
MSK2	AGC	10	191	152	7757	2.6718793055938277	1.4178548397154123	0.005570680047822756	0.1205654324635925	2.2540917845409827	0.918777191716916
PIM2	CAMK	10	191	160	7757	2.538285340314136	1.3438542582716353	0.007757779300995361	0.15513985715011486	2.110262579688688	0.8092766127819032
LOK	STE	12	191	214	7757	2.277340118412683	1.1873497725916444	0.008192203677893854	0.15513985715011486	2.0865992586282833	0.8092766127819032
NUAK2	CAMK	12	191	216	7757	2.2562536358347876	1.1739292568293227	0.008758944765225981	0.15611530963902778	2.0575482123529447	0.8065545052289138
BRSK1	CAMK	15	191	309	7757	1.9714837594672903	0.9792818259757792	0.0111699261993329	0.17889364037846958	1.9519496962960619	0.7474050982120028
MLK2	TKL	15	191	311	7757	1.9588054073163752	0.9699740837495512	0.011772152747967817	0.17889364037846958	1.9291441114068502	0.7474050982120028
MAPKAPK3	CAMK	14	191	282	7757	2.0162266532991717	1.0116578279304456	0.011808161081087102	0.17889364037846958	1.9278177310503266	0.7474050982120028
RSK3	AGC	8	191	123	7757	2.641467671221215	1.4013397529323954	0.01345024180529263	0.19406777461922223	1.8712699079470518	0.712046574178666
DCAMKL1	CAMK	9	191	150	7757	2.4367539267015705	1.2849605692180666	0.01428995508362207	0.19681165410624943	1.8449691362871081	0.7059491886070093
WNK4	Other	14	191	293	7757	1.9405321373050048	0.9564523259069911	0.015825552702586333	0.20848445516885475	1.8006411134438305	0.6809263209591183
NDR2	AGC	12	191	249	7757	1.9572320696398158	0.9688148269247104	0.023272200537278406	0.2886939584250497	1.6331625494157673	0.5395623046198595
STK33	CAMK	15	191	342	7757	1.781252870395885	0.8328923389942559	0.024767241299845942	0.2886939584250497	1.6061223646283822	0.5395623046198595
TTBK2	CK1	18	191	437	7757	1.6728287826326573	0.7422897902133493	0.025153861792742573	0.2886939584250497	1.5993953296328016	0.5395623046198595
PKACA	AGC	10	191	195	7757	2.0826956638474963	1.0584520394093868	0.02582850941000207	0.2886939584250497	1.587900656687321	0.5395623046198595
PKACB	AGC	9	191	168	7757	2.175673148840688	1.1214618369351872	0.026677989557430334	0.2886939584250497	1.5738469017799452	0.5395623046198595
AURC	Other	12	191	257	7757	1.8963065577444131	0.9231922097989134	0.028569954290335545	0.2985067637921266	1.544090454453481	0.5250458238501321
PKCT	AGC	5	191	69	7757	2.9429395250018966	1.5572578963808283	0.0322552045663803	0.31596072935189334	1.4914001994134465	0.5003668923360619
MELK	CAMK	10	191	204	7757	1.9908120316189304	0.993357011187502	0.03336350125446606	0.31596072935189334	1.4767283796258774	0.5003668923360619
CDK1	CMGC	15	191	357	7757	1.7064103128162258	0.7709645898510538	0.0340050225028614	0.31596072935189334	1.4684569334228506	0.5003668923360619
SGK3	AGC	6	191	95	7757	2.565004133370074	1.3589611506618433	0.03441156458287947	0.31596072935189334	1.4632955809604795	0.5003668923360619
MAPKAPK2	CAMK	14	191	329	7757	1.7281942742564331	0.7892654065939978	0.03650743350071005	0.3222087043740676	1.4376186971970184	0.49186273141970516
CDK3	CMGC	12	191	268	7757	1.8184730796280375	0.8627275685350186	0.0372188272379286	0.3222087043740676	1.4292373155717346	0.49186273141970516
ERK7	CMGC	14	191	332	7757	1.7125780609348389	0.7761697489823145	0.038845321300157026	0.3269481209429883	1.4106612820338993	0.4855211542988816
ULK2	Other	17	191	432	7757	1.5981796587163077	0.6764295973585058	0.04165411162529128	0.3328351472299151	1.3803421234758535	0.4777708186732928
NDR1	AGC	7	191	127	7757	2.238487859174671	1.1625244935570733	0.042345546960435305	0.3328351472299151	1.3731922531536458	0.4777708186732928
PHKG2	CAMK	9	191	184	7757	1.9864841793762804	0.9902173036569347	0.0428401674652366	0.3328351472299151	1.3681488401490987	0.4777708186732928
CDK2	CMGC	16	191	406	7757	1.6004951899517708	0.6785183410864591	0.04685940973919913	0.35496002877443344	1.3292031862602516	0.4498205490859089
ROCK2	AGC	7	191	131	7757	2.1701370848487267	1.1177861787917887	0.04832308971452683	0.3571194191097959	1.3158453052836379	0.4471865335010683
SIK	CAMK	11	191	251	7757	1.7798335453995537	0.8317423229581605	0.05084090053679881	0.3583968360055298	1.293786765460698	0.44563583302610826
IRE1	Other	15	191	378	7757	1.6116097398819913	0.6885024296590811	0.05086159718890357	0.3583968360055298	1.2936100059488267	0.44563583302610826
CAMK1B	CAMK	7	191	134	7757	2.1215519262327103	1.0851199898714665	0.053142831081955624	0.36596085949619445	1.2745553131075191	0.4365653610914016
CDK6	CMGC	13	191	318	7757	1.6602621093878627	0.731411021128372	0.05536017865945812	0.36637024115957095	1.2568025169853376	0.43607980963589943
AKT1	AGC	4	191	56	7757	2.9008975317875842	1.5364993362140311	0.055620564664489315	0.36637024115957095	1.2547646064566305	0.43607980963589943
PIM1	CAMK	8	191	167	7757	1.945512117127003	0.9601499657975833	0.059867635663488475	0.38595518310717036	1.2228078929913784	0.41346312242479094
MSK1	AGC	8	191	171	7757	1.9000030617556107	0.9260017433857374	0.06651391405157561	0.41986908245057103	1.1770874950919386	0.37688610396522076
PAK6	STE	13	191	329	7757	1.6047518260952596	0.6823502026774861	0.06806361335273353	0.4208831601199645	1.1670849988561618	0.3758384503823703
QIK	CAMK	12	191	306	7757	1.592649625295144	0.6714289163001395	0.08102117126411952	0.4820124634002259	1.0914014828277308	0.3169417320599802
PAK3	STE	8	191	179	7757	1.8150867238000528	0.8600384810073789	0.08113081067132515	0.4820124634002259	1.0908141844643489	0.3169417320599802
PKG1	AGC	12	191	310	7757	1.5720993075494003	0.6526923537185537	0.08699345886911011	0.5069041930257762	1.0605134012187232	0.2950741163512175
CHAK1	Alpha	13	191	346	7757	1.52590563810792	0.6096657487760027	0.0912483557506363	0.5216651281592981	1.0397749525685753	0.2826081936670593
NIM1	CAMK	14	191	383	7757	1.4845324183560482	0.5700085984042822	0.09618995389118741	0.5397325190561071	1.016870283445024	0.2678214147656877
DAPK1	CAMK	11	191	286	7757	1.5620217478856222	0.643414540130543	0.10181906965203837	0.5529320116103998	0.9921708755449182	0.257328266159457
AURA	Other	14	191	387	7757	1.4691884140319547	0.5550194241848289	0.102192054951097	0.5529320116103998	0.9905828676555616	0.257328266159457
LATS2	AGC	11	191	288	7757	1.5511743746364164	0.6333608754666199	0.10541662684160545	0.5603725953159027	0.9770908846066901	0.2515231117768766
HPK1	STE	9	191	225	7757	1.624502617801047	0.6999980684969105	0.11059523876579498	0.5777647818282049	0.956263569435042	0.23824893449567416
PKG2	AGC	10	191	260	7757	1.5620217478856224	0.6434145401305432	0.11526718300014978	0.591965363543142	0.9382943203773605	0.22770370351719973
AURB	Other	10	191	261	7757	1.5560369902308882	0.6378763565891131	0.11731517064478038	0.5924416117561409	0.9306458233380256	0.2273544452193642
MNK2	CAMK	8	191	198	7757	1.640911735152573	0.7144976381920257	0.12289330140959205	0.6052983043839512	0.9104717887175704	0.21803054267050576
DRAK1	CAMK	13	191	367	7757	1.438592236472317	0.5246577235695146	0.12598108215082718	0.6052983043839512	0.8996946654724587	0.21803054267050576
CDC7	Other	21	191	650	7757	1.3120982682239228	0.3918757731345788	0.1262515929575501	0.6052983043839512	0.898763133539523	0.21803054267050576
