ID	Insulin	Contraction	GU
ID01	Saline	Rest	22,13410503
ID03	Saline	Rest	22,62003051
ID05	Saline	Rest	16,33616645
ID19	Saline	Rest	21,15830007
ID21	Saline	Rest	32,20250536
ID24	Saline	Rest	21,36549181
ID25	Saline	Rest	26,25996289
ID01	Saline	Contraction	468,24016
ID03	Saline	Contraction	428,5888176
ID05	Saline	Contraction	421,9817538
ID19	Saline	Contraction	385,7747474
ID21	Saline	Contraction	574,3433119
ID24	Saline	Contraction	443,7702014
ID25	Saline	Contraction	529,6159123
ID02	Insulin	Rest	21,40181288
ID04	Insulin	Rest	82,54063572
ID11	Insulin	Rest	119,7335392
ID18	Insulin	Rest	65,24213317
ID20	Insulin	Rest	56,0314704
ID22	Insulin	Rest	70,54087968
ID27	Insulin	Rest	122,0828655
ID29	Insulin	Rest	87,68389519
ID30	Insulin	Rest	106,201456
ID33	Insulin	Rest	60,62585935
ID02	Insulin	Contraction	405,8688783
ID04	Insulin	Contraction	321,8986637
ID11	Insulin	Contraction	668,72073
ID18	Insulin	Contraction	458,5986522
ID20	Insulin	Contraction	386,8429588
ID22	Insulin	Contraction	332,0976144
ID27	Insulin	Contraction	654,232187
ID29	Insulin	Contraction	391,749338
ID30	Insulin	Contraction	441,3312322
ID33	Insulin	Contraction	325,0050612
