Condition	delta_GU	delta_phos	scaled_phos
Saline	446,106055	7433074,105	0,983290126
Insulin	384,4670654	12301234,74	1,627278631
Saline	405,9687871	6129738,316	0,810877313
Insulin	239,3580279	3331030,737	0,440648053
Saline	405,6455874	10304095,37	1,36308546
Insulin	548,9871907	7308110,526	0,966759219
Insulin	393,356519	6692644,211	0,885341768
Saline	364,6164474	6468728,632	0,855720917
Insulin	330,8114884	5262823,368	0,696196779
Saline	542,1408066	3738064,211	0,4944928
Insulin	261,5567347	-1744155,021	-0,230726936
Saline	422,4047096	8813477,895	1,16589794
Saline	503,3559494	10028555,46	1,326635443
Insulin	532,1493215	5496152,649	0,727062929
Insulin	304,0654428	6045164	0,799689333
Insulin	335,1297762	6060598,162	0,801731053
Insulin	264,3792019	3651411,027	0,483029815
