Mouse_ID	ID	Contraction	Insulin	GU	GU_log2	WB	WB_log2	WB_scaled
1R	RS	Rest	Saline	22,13410503	4,468199135	2.655.468,421	21,34053494	0,233850942
1C	CS	Contraction	Saline	468,24016	8,871104867	10.088.542,526	23,26621443	0,88843654
2R	RI	Rest	Insulin	21,40181288	4,419661103	7.689.294,316	22,87441977	0,677149353
2C	CI	Contraction	Insulin	405,8688783	8,664869909	19.990.529,053	24,25281332	1,760444229
3R	RS	Rest	Saline	22,62003051	4,49952897	8.902.088,421	23,0857124	0,783952748
3C	CS	Contraction	Saline	428,5888176	8,743450399	15.031.826,737	23,84151701	1,323761496
4R	RI	Rest	Insulin	82,54063572	6,367032645	9.220.781,263	23,13645756	0,812018087
4C	CI	Contraction	Insulin	321,8986637	8,330462777	12.551.812,000	23,58139231	1,105361691
5R	RS	Rest	Saline	16,33616645	4,029997566	7.707.710,526	22,87787096	0,678771156
5C	CS	Contraction	Saline	421,9817538	8,721036809	18.011.805,895	24,1024395	1,586190124
11R	RI	Rest	Insulin	119,7335392	6,90368352	13.247.917,053	23,65926221	1,166663427
11C	CI	Contraction	Insulin	668,72073	9,385260031	20.556.027,579	24,29305816	1,810244243
18R	RI	Rest	Insulin	65,24213317	6,027732048	6.596.549,053	22,65328005	0,580917928
18C	CI	Contraction	Insulin	458,5986522	8,841088305	13.289.193,263	23,66375019	1,170298371
19R	RS	Rest	Saline	21,15830007	4,403151816	7.675.284,000	22,8717887	0,675915549
19C	CS	Contraction	Saline	385,7747474	8,591614898	14.144.012,632	23,75368813	1,245577111
20R	RI	Rest	Insulin	56,0314704	5,808165448	6.211.819,789	22,56658455	0,547037163
20C	CI	Contraction	Insulin	386,8429588	8,595604204	11.474.643,158	23,45194595	1,010501987
21R	RS	Rest	Saline	32,20250536	5,00910103	8.149.965,263	22,95836248	0,717717839
21C	CS	Contraction	Saline	574,3433119	9,165769551	11.888.029,474	23,50300626	1,046906404
22R	RI	Rest	Insulin	70,54087968	6,140387662	9.937.756,211	23,24448872	0,875157707
22C	CI	Contraction	Insulin	332,0976144	8,375463549	8.193.601,189	22,96606624	0,72156059
24R	RS	Rest	Saline	21,36549181	4,417210622	6.210.580,632	22,56629672	0,546928038
24C	CS	Contraction	Saline	443,7702014	8,793668985	15.024.058,526	23,84077125	1,323077397
25R	RS	Rest	Saline	26,25996289	4,714792972	2.478.383,892	21,24096824	0,218256186
25C	CS	Contraction	Saline	529,6159123	9,048802658	12.506.939,351	23,57622545	1,10141003
27R	RI	Rest	Insulin	122,0828655	6,93171692	10.780.799,892	23,36196089	0,949399434
27C	CI	Contraction	Insulin	654,232187	9,353658929	16.276.952,541	23,95632728	1,433412147
29R	RI	Rest	Insulin	87,68389519	6,454239984	11.542.511,135	23,46045379	1,016478707
29C	CI	Contraction	Insulin	391,749338	8,613787026	17.587.675,135	24,06806145	1,548839509
30R	RI	Rest	Insulin	106,201456	6,730659735	11.656.332,432	23,47461059	1,026502256
30C	CI	Contraction	Insulin	441,3312322	8,785718038	17.716.930,595	24,07862535	1,560222251
33R	RI	Rest	Insulin	60,62585935	5,921861387	8.717.996,649	23,05556522	0,767740906
33C	CI	Contraction	Insulin	325,0050612	8,344318375	12.369.407,676	23,56027308	1,089298453
