id	time	reps1	reps1_p	ratio_reps1p_reps	normalised
1	rest	0,901858229	0,887871731	0,984491467	1,156422449
3	rest	1,60641857	1,272516892	0,792145283	0,930485045
5	rest	0,93573355	0,460205209	0,491812235	0,57770202
6	rest	0,894043704	0,917860719	1,026639654	1,205931368
2	rest	0,935547528	0,623563694	0,666522732	0,78292385
8	rest	0,933128649	1,069682027	1,146339284	1,346535268
1	ex	0,834776378	1,198216293	1,435373981	1,686046806
3	ex	1,279298018	1,422113678	1,111635958	1,305771375
5	ex	0,672042466	0,889797953	1,324020426	1,555246535
6	ex	0,669467468	0,506587376	0,756702006	0,888851976
2	ex	0,7749835	0,957955537	1,236097978	1,451969365
8	ex	0,572733453	1,070807972	1,869644537	2,196158104
