Stimulation	Treatment	GU
Basal	DMSO	1,224491717
Basal	DMSO	0,913497741
Basal	DMSO	1,08405497
Basal	DMSO	1,014307229
Basal	DMSO	0,917262801
Basal	DMSO	0,846385542
Insulin	DMSO	1,252541416
Insulin	DMSO	1,458113705
Insulin	DMSO	1,405214608
Insulin	DMSO	1,296027861
Insulin	DMSO	1,346009036
Insulin	DMSO	1,264118976
Basal	BI-D1870	1,133471386
Basal	BI-D1870	0,837255271
Basal	BI-D1870	1,007718373
Basal	BI-D1870	0,774096386
Basal	BI-D1870	1,013271837
Basal	BI-D1870	0,884036145
Insulin	BI-D1870	1,058076054
Insulin	BI-D1870	0,887895331
Insulin	BI-D1870	0,877541416
Insulin	BI-D1870	1,066170934
Insulin	BI-D1870	0,995199548
Insulin	BI-D1870	0,887895331
