Input	Match type	Approved symbol	Approved name	HGNC ID	Location
ACVR2A	Approved symbol	ACVR2A	activin A receptor type 2A	HGNC:173	2q22.3-q23.1
ACVR2B	Approved symbol	ACVR2B	activin A receptor type 2B	HGNC:174	3p22.2
AKT1	Approved symbol	AKT1	AKT serine/threonine kinase 1	HGNC:391	14q32.33
AKT2	Approved symbol	AKT2	AKT serine/threonine kinase 2	HGNC:392	19q13.2
AKT3	Approved symbol	AKT3	AKT serine/threonine kinase 3	HGNC:393	1q43-q44
ALK2	Alias symbol	ACVR1	activin A receptor type 1	HGNC:171	2q24.1
ALK4	Alias symbol	ACVR1B	activin A receptor type 1B	HGNC:172	12q13.13
AlphaK3	Unmatched	ALPK1			
AMPKA1	Alias symbol	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1	HGNC:9376	5p13.1
AMPKA2	Alias symbol	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	HGNC:9377	1p32.2
ANKRD3	Previous symbol	RIPK4	receptor interacting serine/threonine kinase 4	HGNC:496	21q22.3
ASK1	Alias symbol	MAP3K5	mitogen-activated protein kinase kinase kinase 5	HGNC:6857	6q23.3
ATM	Approved symbol	ATM	ATM serine/threonine kinase	HGNC:795	11q22.3
ATR	Approved symbol	ATR	ATR serine/threonine kinase	HGNC:882	3q23
AURA	Alias symbol	AURKA	aurora kinase A	HGNC:11393	20q13.2
AURB	Alias symbol	AURKB	aurora kinase B	HGNC:11390	17p13.1
AURC	Alias symbol	AURKC	aurora kinase C	HGNC:11391	19q13.43
BCKDK	Approved symbol	BCKDK	branched chain keto acid dehydrogenase kinase	HGNC:16902	16p11.2
BIKE	Alias symbol	BMP2K	BMP2 inducible kinase	HGNC:18041	4q21.21
BMPR1A	Approved symbol	BMPR1A	bone morphogenetic protein receptor type 1A	HGNC:1076	10q23.2
BMPR1B	Approved symbol	BMPR1B	bone morphogenetic protein receptor type 1B	HGNC:1077	4q22.3
BMPR2	Approved symbol	BMPR2	bone morphogenetic protein receptor type 2	HGNC:1078	2q33.1-q33.2
BRAF	Approved symbol	BRAF	B-Raf proto-oncogene, serine/threonine kinase	HGNC:1097	7q34
BRSK1	Approved symbol	BRSK1	BR serine/threonine kinase 1	HGNC:18994	19q13.42
BRSK2	Approved symbol	BRSK2	BR serine/threonine kinase 2	HGNC:11405	11p15.5
BUB1	Approved symbol	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	HGNC:1148	2q13
CAMK1A	Unmatched	CAMK1			
CAMK1B	Alias symbol	PNCK	pregnancy up-regulated nonubiquitous CaM kinase	HGNC:13415	Xq28
CAMK1D	Approved symbol	CAMK1D	calcium/calmodulin dependent protein kinase ID	HGNC:19341	10p13
CAMK1G	Approved symbol	CAMK1G	calcium/calmodulin dependent protein kinase IG	HGNC:14585	1q32.2
CAMK2A	Approved symbol	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	HGNC:1460	5q32
CAMK2B	Approved symbol	CAMK2B	calcium/calmodulin dependent protein kinase II beta	HGNC:1461	7p13
